Storage Bin,Material,Material Description
R31L03,5014561,"Roda heavy Duty 4"", Nylon, tanpa frame"
R06L05,5014563,WD-40 Penetrating
R09L02,5014564,Snap ring baja uk.6 model luar
R09L02,5014565,Snap ring baja uk.7 model luar
R28L02,5014594,"Oil SHC 629, Mobil Oil"
R02L02,5014602,"As Con. Mini KD,Dia 10/8 x 217mm, SS 304"
F0201,5014605,"Silicone Sponge Putih, T. 5mm, As sample"
L02L02,5014614,"Bevel Gear, KHK Miter Gears SMB3-25"
R02L01,5014618,Timing Belt 960-EV5GT-9 Unitta
R02L04,5014620,"Vacuum Generator CV-15LS, Myotoku"
R02L04,5014621,"Vacuum generator filter VF-5, Myotoku"
R02L01,5014622,"Helical Extension spring 2169, KSSC"
R02L01,5014623,"Helical Extension spring 2131, KSSC"
R02L01,5014624,"Helical Ext. sprng HP063-039-0,7 San-Esu"
R13L01,5014626,"Kompresor AC 2 PK 1 ph, Panasonic"
L02L02,5014638,Brac. Dudukan Print Head SS uk.5x65x75mm
R06L02,5014641,Filter Set type C PN. 1001.1001
R06L02,5014642,Filter Set type E PN. 1001.1002
R02L05,5014666,"Motor Servo HG-KR43 J, Mitsubishi"
R02L05,5014667,"Motor Servo HG-KR23 J, Mitsubishi"
R03L03,5014668,"Bearing 6905 ZZ NR, NSK"
R03L03,5014669,"Rod Ends PHS 5A, IKO (Kanan)"
R18L01,5014670,"Cylinder Pneumatic CDA2B40-175Z, SMC"
R02L04,5014677,"Proximity switch TL-Q5MC2 2M, Omron"
R03L05,5014678,"Photoelectronic Fiber FU-6F, Keyence"
R02L02,5014679,IG Bush XFM-1820-17
R02L02,5014680,IG Bush XFM-1517-15
R02L01,5014681,"Timing Belt S5M 320 (10mm), MITSUBOSHI"
R02L01,5014682,Timing Belt 340-EV5GT-15 Unitta
R02L01,5014683,Timing Belt LL-2910-5GT-15 Unitta
R02L01,5014684,Timing Belt 1675-EV5GT-9 Unitta
R16L03,5014727,"Mata Gerinda Potong SS 4"", 105x1,2x16 mm"
R11L05,5014728,"Ferrule Nipple Sanitary SS 2"" x 1"" male"
R02L02,5014761,"Speed Control JSU 6, Pisco"
R02L05,5014762,"Solenoid Valve SY3120-5GS-C6-F2,SMC"
R03L02,5014764,"Mur SS M4 u. conveyor NAFM, As Sample"
R03L02,5014765,Baut L3 SS NAFM uk. M4 x 10 mm
R13L05,5014784,"Photielectric Sensor BX700-DFR, Autonics"
L02L02,5014802,"Gear Torque Limiter Topack, As Sample"
R19L02,5014822,Timing belt 3M265 Gates
L02L01,5014835,Cutter Blade RC8440+Z
R06L02,5014879,CV Parts 451626
R06L02,5014880,MGV Parts 451587
R06L02,5014881,3P-MGV Parts 451476
R07L05,5014915,"Solenoid Valve CPE14-M1BH-5L-QS-8, Festo"
R16L03,5014917,Karbon brush Gerinda GWS 900-100 Bosch
R07L02,5014932,"Bearing UK 205, FYH"
R07L02,5014933,"Bearing UK 207, FYH"
F0301,5014947,Plate Bordes uk.1200 mm x 2400 mm x 4 mm
F0201,5014950,"Slang Spiral DC uk. 3"" ,As Sample"
R25L03,5015027,"Fitting Angin KQ2LF06-01, 06 x 1/8"" SMC"
R04L03,5015040,"Cover Tutup Saklar type Blank E31X, Sch"
R01L01,5015045,"Box Panel 8GB1371-2 IP65 PCV, Siemens"
H0101,5015110,"Fan Belt SPA 1407 LW, Optibelt"
H0101,5015111,"Fan Belt SPA 1180 LW, Optibelt"
H0101,5015112,"Fan Belt SPA 1107, Optibelt"
H0101,5015113,"Fan Belt SPA 1700 LW, Optibelt"
R02L02,5015147,"Gear Drive Kecil, Sesuai Contoh"
R12L03,5015252,"Fan Belt SPA 1807 LW, Optibelt"
R16L01,5015254,"Flow Water Meter Itron uk.3"""
R11L05,5015256,"Pressure gauge SS 3 in 0-10 Bar, G1/4 in"
R02L05,5015281,MBEU Power Cable for SZ
R02L05,5015282,Inverter Cable 2M (DVOPM20076)
L01L02,5015283,Inverter Mitsubishi FR-D720-0.7K
R02L05,5015284,Brushless motor serv MBMU5AZAX01
R02L05,5015285,Speed control MBEU5A5AAV01 (D50-2.3)
L02L07,5015332,"Pneumatic Cylinder MGQM25 -10, SMC"
L02L07,5015333,"Seal Kits Pneumatic u. MGQM25 -10, SMC"
R08L02,5015344,"Bearing KSP8 FS464, FAFNIR"
L01L06,5015345,"Photoelectrik E3NX-CA11, 10-30VDC Omron"
R07L06,5015347,Filter Catridge 5mic 222 Junqun F270.5.1
R02L05,5015351,Gear box 6602-33-653 VRXF-9C-K-400 T-3
L01L03,5015383,"Gear Head G775K, Astero Sumitomo"
L02L07,5015399,Karbon Brush topack as sample
R02L05,5015424,Power supply 0211-75-519 ERB21FWA-B-P
R13L05,5015440,Soft Absorbers FA-1008VB-C
R13L05,5015441,Soft Absorbers FA-1210MB-C
R10L01,5015505,PTFE Ring PN.615 02
R10L01,5015506,Guide bushing PN. 615 03
R10L01,5015507,Sealing PN. 615 05
R10L01,5015508,O-ring PN. 615 07
R10L01,5015509,O-ring PN. 88-24H644-75
R10L01,5015510,Guide bushing PN. 615 09
R10L01,5015511,Groove Ring PN. 615 12
R10L01,5015512,Guide Ring PN. 615 13
R10L01,5015513,Spring PN. 592 19
R10L01,5015514,Snap Ring PN. 592 21
R10L01,5015515,Cushioning screw PN. 615 22
R10L01,5015516,Sealing PN. 615 24
R10L01,5015517,Sealing PN. 615 30
R10L02,5015556,Seal kit Cylinder Viton Dia 125mm TSPID
R16L03,5015571,Thermostat KSD 301 250V 10 A 185
R14L05,5015573,PVC Duct TC4 Putih
R28L04,5015574,PVC Duct Lantai uk. 70 x 20 Putih
R32L02,5015575,"Besi Hollow SUS 304 uk.20x20x1,5 mm"
R19L05,5015599,Bearing HK1212 NTN
R16L04,5015600,"Paku Rivet 3,2 x 11 mm"
R19L04,5015607,Sealing PN. 215866 LHM 230
R19L04,5015609,Locking Ring PN. 20043 LHM 230
R19L04,5015610,Spring PN. 215156 LHM 230
R16L04,5015636,Push valve kit TOTO CE9
L02L04,5015637,Bearing Cam follower MCFR16SBX McGILL
L02L02,5015638,Rotary disc clutch As Sample
L02L02,5015639,Rotary disc clutch PN. RP8961LZ
L01L03,5015640,Gear Head G83K Astero Sumitomo
R07L04,5015702,"Power Pulse valve 353, 24 VDC, ASCO"
R19L03,5015703,Mekanikal seal CR10-06 AAE HQQE
R06L03,5015704,Volume Control ZV-303 TOA
R31L05,5015705,Sponge Rubber Hitam kotak uk. 25x40 mm
R07L02,5015707,"Pillow Blok UCP 207, SNR"
R07L02,5015959,"Bearing 209 UK, FYH"
R09L03,5015960,"Proximity NBN4-12GM60-A2, P+F"
R03L02,5015971,Gear Conveyor RS40 T14
R23L03,5015973,"Flange JIS 5K uk. 2"""
R16L01,5015976,"Water meter Itron uk. 2"", Flange"
R01L04,5015984,"Sekring kaca 3A,250VAC, 6x30"
R11L04,5015985,Bushing teflon as pemutar PLP
R07L02,5016050,"Bearing 6305 ZZ C3, NSK"
R07L02,5016051,Fan Wheel Dia. 250x100x shaft 24
R13L03,5016070,"Cordset, Miniblue II PN. 1103014"
R19L04,5016119,Spring PN. 51494771 AM2200
R19L04,5016120,Bearing Steer PN 51109704 AM2200
R19L04,5016121,"Bolt PN. 50471110, AM2200"
R19L04,5016122,"Clamp PN. 50434654, AM2200"
R19L03,5016147,Bearing 6311 ZZ/C3 SKF
F0201,5016169,Cover TCW097 2XTLD36 220 Philips
R03L02,5016188,Over Joint H-25 5309 Miyoshi
R17L02,5016217,Bearing 6213 / C4 SKF
R12L05,5016289,Blade for Profiline S1.BO4.00344
R12L05,5016290,Small Roller Assy 2 S1.B04.00318
R05L04,5016348,"Lampu SLE 14 Watt putih, Philips"
R04L02,5016349,Stop kontak 3 lubang Uticon
R01L06,5016351,Lampu LED Tube T8 2500lm Philips
L01L04,5016371,"Thermal Over Load 2,8-4,2 Fuji"
L01L03,5016373,"PLC KV-L20V Unit, Keyence"
L01L03,5016374,PLC KV-DA40 I/O unit Keyence
R26L05,5016456,"Elbow 6"" PVC Rucika"
L02L04,5016490,Pre Heater PN. RG8302+Z
L02L04,5016491,Top sealer heater RG8405AZ
R14L02,5016495,Washing solution Hitachi
R17L01,5016503,Pneumatic cylinder 125x350 mm
R17L01,5016505,"seal wiper ID35xOD45,5x6,5 mm"
R17L01,5016507,"Seal Dust ID35xOD45x8,5 mm"
R32L03,5016511,Armaflex Sheet tebal 1 inchi
R19L03,5016513,Fan Blade MG160 PN. 96796654
L02L02,5016527,"Shutter Main RP8252+Z etc,"
R31L04,5016529,Klem sling pintu Albany
L02L02,5016533,"Shutter Mix w/ pin RP8253+Z etc,"
R01L04,5016573,"Relay MY 2, 24 VDC Omron"
L01L02,5016574,"AC Power Reg. RPDE 2020-T, Fuji"
L02L07,5016575,Carbon brush holder RE8081+S
L01L05,5016583,Hour Meter LA8N-BF Autonics
R09L02,5016617,Tension Spring Tokiwa As Sample
L01L02,5016623,"Brake Control SPC-501, 1X9801PW"
L02L04,5016625,"Heater 145 150W 135L, RP8004BZ"
L02L01,5016626,"Top Sealer width 5,5 RG8400+Z"
L02L04,5016627,Thermocouple PN. RG8361AZ
L02L04,5016636,PRE HEATER PN. RG9302+Z
R20L04,5016639,"Oil seal TC 25-35-7,5"
R02L02,5016654,"Shaft Pully Folding, as sample"
R07L04,5016671,Kopling Spray Foam FBD Huttlin
R09L01,5016687,Seal PIAB ID115xOD127xT16 slcn
R20L04,5016767,"Bearing 7304 BEP, SKF"
R02L01,5017749,"Roller KE Dia 60x20mm,mat. SS+PU"
R18L01,5017752,KLEM PINTU RIBON MIXER MAT SS304
R18L01,5017753,Inflatable gasket Ribon MIxer
L01L02,5017879,Motor SGMJV-02AAA21 Yaskawa
R03L02,5017881,"Baut Pad NAFM M4x0,8 mm, SS304"
R09L03,5017887,Com. Modul SVB-01 Yaskawa
R13L04,5017889,Motor SGMJV-04A3A21 Yaskawa
R13L04,5017890,Servopack SGDV-5R5A11A Yaskawa
R09L04,5017891,Set Spring BFK458-06N 24VDC 20W
R13L04,5017892,IO Module LIO-04 Yaskawa
R02L03,5017900,Film PN. 9921-10279
R02L03,5017901,Film PN. 9921-96027
R02L03,5017902,Sponge roll PN. 9921-93064
L02L07,5017903,Gear Handle Topack mat. mc blue
R13L04,5017906,Servopack SGDV-7R6A11A Yaskawa
R09L05,5017923,"Kontaktor 3RT2016-1BB41, Siemens"
R08L03,5018013,"O-ring ID 117,75 x 5,5 mat. NBR"
R03L04,5018018,Vacuum Pad PBG-30-Silicon
R20L03,5018034,Push Button set (EM + Up Down)
R01L01,5018075,"Battery for Infilex GC, Azbil"
F0401,5018085,Filter steam 1 mic 10 In SS 316L
H0101,5018106,BELT SPZ 1024 LW OPTIBELT
R09L01,5018109,Rotary Driv DAPS-0030-090-R-F03
R27L03,5018114,Tee Las Galvanis 1 inchi
R26L04,5018115,"Double nipple 3/4"" Galvanis"
F0201,5018117,Kabel NYYHY 5 x 6 mm
R10L01,5018156,Set O-ring for Nozzle Original
H0101,5018157,Fan belt SPZ 1687 LW Optibelt
R16L01,5018186,Cat Zinkcromate @ 5kg
L02L01,5018193,Horizontal I-notch Bla RC8310+Z
R07L03,5018202,"Gear Ratio G-4N10X-K, PeeiMoger"
R07L03,5018203,"Gear Ratio G-4N100-K, PeeiMoger"
R20L05,5018240,Service kit PN.2567K-03 WELCH
R20L05,5018241,Seal kit PN.2567K-04 Welch
R25L02,5018242,Fitting angin KSL06-M6 SMC
F0201,5018243,Terpal Ducting Coklat
R07L02,5018246,Fan Wheel Dia. 250x100x shaft 28
R31L04,5018250,Neeple slang 1 x 1 inchi SS 304
R19L04,5018251,"Oil seal TB 18 x 32 x 9,5 mm"
R13L05,5018269,"Magnelimit AZC11013H, Panasonic"
F0401,5018271,Hooter 3177629
F0401,5018272,Lamp 3030937
F0401,5018273,Lamp 3030849
F0401,5018274,Lamp 3030911
F0401,5018275,One way restrictor 0097977
F0401,5018276,One way restrictor 0098175
F0401,5018277,One way restrictor 0098248
F0401,5018278,Hedless Screw 0042897
F0401,5018279,Sliding ledge 1531034
F0401,5018281,Filter element 2089181
F0401,5018282,Filter element 1335723
F0401,5018283,Filter element 1335758
F0401,5018284,Light bulb 1229648
F0401,5018285,Press reduction valve 0093564
F0401,5018286,Absolute value transmter 1580795
F0401,5018287,Power supply module 2111977
F0401,5018288,Terminal 2096977
F0401,5018289,BUS module 2111985
F0401,5018290,Module 2096951
F0401,5018291,BUS module 2096986
F0401,5018292,Pushbutton 3178047
F0401,5018293,Switch contact 3178412
F0401,5018294,Switch contact 3178439
F0401,5018295,Holder 7600827
F0401,5018296,Pushbutton 3178102
F0401,5018297,Empty housing 3178587
F0401,5018298,Pushbutton 3178056
F0401,5018299,Illuminated pushbutton 3178323
F0401,5018300,lamp holder 3178527
F0401,5018301,Empty housing 3178595
F0401,5018302,Blind seal 3178609
F0401,5018303,Illuminated pushbutton 3178277
F0401,5018304,Lamp holder 3178501
F0401,5018305,Modif of list electrical 3203107
R03L06,5018361,"KIT SERVICE,PUMP ASSY PN.1028303"
L01L05,5018362,Magnetic catch C-100-A-2 TAKIGEN
R32L03,5018363,PE Foam uk.8 mm
R03L02,5018402,Spring uk. Dia 10 x 1000 x T 1mm
R13L05,5018403,Photo Sensor E3Z-D66 Omron
R20L05,5018512,Carrying Belt PN. 84G20611B
R20L05,5018513,Pulley motor PN. 842H176757A
R20L05,5018514,Geared Motor PN. 839H176755A
R20L05,5018515,Carrying Belt PN. 84G176740H
R20L05,5018516,Carrying Belt PN. 84G176740G
R20L05,5018517,Carrying belt PN. 84G206116D
R20L05,5018518,Geared Motor PN. 839H176750B
R20L05,5018519,Pulley motor PN. 842H176752A
R20L05,5018520,Carrying Belt PN. 84G176739D
R07L03,5018554,Temp. Controller RWC62 Siemens
R07L03,5018555,Duct Temp. Sensor QAM22 Siemens
R32L02,5018570,"Pipa Hollow SUS 304, 30x30x2 mm"
R20L05,5018573,Driven Roller PN. 839H176795
R20L05,5018574,Driven Roller PN. 839H176785D
R32L02,5018575,"Pipa Glv 1"" Sch 40"
R20L05,5018576,DRIVE BELT PN. 84G123704F
R20L05,5018577,Drive belt PN. 84G123704G
R20L05,5018578,Driven Roller PN. 839H206585A
R20L05,5018579,Drive Roller PN. 839H176790J
R08L03,5018584,Spring uk ID 33 x P.50 x T.3 mm
R24L03,5018607,"Valve 2"" type Ball, Kitz"
R27L05,5018616,"Sock drat dalam 2"" PVC"
R06L03,5018680,Motor Fan Electrik Set TTK524LB00CB Tran
R06L03,5018681,Remote AC Trane model TTK
R12L02,5018682,Fan Belt SPA 1040
L02L05,5018684,"Baut L 2,5 uk. M3 X 40 mm, SS"
L02L02,5018685,Cylinder JIG Head CDAF25x30 Koganei
L02L07,5018686,"Cylinder Joint CJ-6x1, Koganei"
L02L07,5018687,"Slang silicone uk. ID 5mmxOD 8mmx1,5mm"
L02L06,5018688,"Washer Ring uk. OD30 x ID 17 x 2,8 mm"
R20L04,5018689,Bearing 6308 ZZ SKF
R10L04,5018690,Display BL-100301-U MODUTEC BIG-
R10L02,5018691,"Fitting tubing uk. 4 X 1/8"" kuningan"
R10L02,5018693,Seal O-ring Rubber Uk Ø28 x 3
R08L05,5018694,"Filter ms conv dia.430x330xF/W910, Poly"
R02L03,5018696,"Roller Bearing NAG 4900 UU, IKO"
R09L01,5018697,Seal catridge vacuum PIAB Silicon Putih
R19L02,5018698,Safety Stop. Cut. Zhong Ya uk.80x120x170
R04L05,5018699,Lampu TLD 10 W
R05L05,5018700,Lampu sensor gerak LED 13 W putih
R13L03,5018701,Solenoid Val Solidblue II LED PN 1056119
R03L03,5018702,Bearing 6007 ZZ NTN
R03L02,5018703,Sambungan rantai setengah ofset link 40
R18L02,5018704,"Coil Solenoid V211-4G, SMC"
R12L01,5018705,Fan Belt 3V x 400 /SPZ 1040
R12L01,5018706,Fan Belt 3Vx750/SPZ 1912
R17L04,5018708,Inlet Valve Overhaul kit PN 2901 1101 00
R18L04,5018709,Magnetic Contactor H65C 220-240V Hitachi
R01L04,5018710,Kapasitor 12 mF
R27L01,5018713,Sock drat dalam Glv 1 inch
R27L01,5018714,Sock drat dalam Glv 1/2 inch
R27L01,5018715,Sock drat dalam Glv 3/4 inch
R27L05,5018716,Sock 2 inch PVC type AW
R26L04,5018717,U-Bolt 2 1/2 inch
R27L01,5018718,"Watermur uk. 1"" Galvanis"
R32L02,5018732,"Pipa Glv 1 1/4"""
R05L02,5018736,Bearing 6309 ZZ C3 SKF
R05L02,5018737,Bearing 6209 ZZ C3 SKF
L02L07,5018738,PLASTIC HINGES HHPSJ8-B
R19L05,5018755,Filter Catridge ID90xOD130x173mm
F0501,5018758,NaOCL 12%
R01L03,5018765,Swicth ON OFF 30A Hijau
R17L04,5018776,Cirkuit Breaker 3RV1011-1GA10
R09L04,5018777,Bearing 685 ZZ
R01L01,5018781,"Filter LF-1/2-D-MAXI-A, 186465"
F0301,5018786,Fan Assy PN. 1613 8491 11
R05L03,5018787,Control Panel VW3A1101 Schneider
R03L01,5018797,Timing Belt HTD 475 5M 40
R09L04,5018801,Ring Sensor ID8xOD16x8mm SS
L02L01,5018805,Pisau Inock 4 mata Dia 77 x 5 mm
R06L01,5018811,"Motorized Valve DN40, 1 1/2"" 24V"
R06L01,5018812,"Motorized Valve DN32, 1 1/4"" 24V"
L01L06,5018813,Solid state rel G3FD-X03SN 24VDC
3211010740,5018816,"Valve, Drain PN. 51007908, JH"
R32L02,5018873,"PVC Duct Putih, uk. 5 x 5 cm"
R02L02,5018874,Dudukan plate penahan sachet SS
R13L03,5018875,"Retaining,Ring,INT,100 PN.986331"
R13L03,5018876,"Cup, U, Viton PN. 952100 Nordson"
R13L03,5018877,"Cup, Piston, SP PN. 163039"
R06L04,5018900,"Kabel ties 300 mm, 100 Pcs"
R06L04,5018902,"Kabel ties 200 mm, 100 Pcs"
R06L04,5018903,"Kabel ties 100 mm, 1000 pcs"
R07L02,5018932,"Bearing UK 206, FYH"
R16L03,5018933,Mata bor 8 HSS Cobalt NACHI
R16L03,5018935,"Mata bor 4,5 HSS Cobalt NACHI"
R16L03,5018936,Mata bor 6 HSS Cobalt NACHI
R10L02,5018955,Pulley Seling Filter Mat. Teflon
R06L03,5018989,Motor Fan Electrik TTK530KB00GA
R08L03,5018990,Speed Control AS2052F-08 SMC
R21L05,5018992,Selector switch PKZMO-25 Moeller
R15L04,5018994,Dinabolt uk. 10 x 60 mm
R25L05,5018997,Handle UWASND 220x46x22 Misumi
R17L03,5018998,Float Switch kabel 2 meter
R17L02,5018999,WLC Sparator F013-14-3Ph Omron
R17L04,5019043,Auto drain AD402-04 SMC
R06L02,5019044,Sub tank part PN. 451833 Hitachi
R03L02,5019047,Shaft Feeder Dia 20x100 mm NAFM
R03L03,5019048,Bearing 6004 ZZ NR
R09L02,5019071,Bushing Roller SS ID8 x 5 x 1 mm
R09L02,5019072,Roller Conveyor SS304 Ø20xP272mm
R09L02,5019073,As roller SS 304 Dia.8x232 mm
R09L02,5019074,As roller SS 304 Dia.8x282 mm
R08L01,5019078,Cylinder Pneumatic 709-DXP Bimba
L02L05,5019079,Baut M5X15 mm SUS304
R25L05,5019087,Backplate 2032-F1 (PZ 72 mm)
R24L03,5019100,Valve 1 1/4 Kuningan KITZ
R27L01,5019101,Water mur 1 1/4 Galvanis
R26L05,5019115,Quick Connect Clamp 6 SS304
R21L06,5019131,"Selang Serat Benang 2"" Toyofood"
R09L01,5019133,Clamp Ferrul SS316 Dia. 2 inchi
R09L04,5019134,Toothed belt 50 AT10x610
R32L02,5019137,Siku Allumunium 30x30x2 mm
R15L01,5019179,"Cat Propan MX-99, GENTIAN BLUE"
R15L01,5019180,Cat Propan Mult MX-99 LEAF GREEN
R15L01,5019181,"Cat Propan Multipox MX-99, Ivory"
R20L06,5019183,"Lampu DELHIGHBAY 65 Watt, L-eeDo"
R09L04,5019202,"Basic seat sealing bar, 674209"
R09L05,5019203,"Safety Switch AZ1 ZVRK, 113021"
R09L04,5019204,Conection Rod SS304 Hex 1/2 x535
R09L04,5019205,Conection Rod SS304 Hex 1/2 x220
R26L04,5019207,DOP 2 inchi Galvanis
R10L02,5019208,"O-ring 28X2mm VITON, 1-999-02356"
R10L02,5019209,O-ring 8X1 mm PN 1-999-02488 01
R10L02,5019210,"O-ring 22X2,5 mm PN 1-999-08225"
R10L02,5019211,"O-ring 16,3X2,4mm PN 1-999-08224"
R10L02,5019212,"O-ring 15,3X2,4mm PN 1-999-00177"
R10L02,5019213,O-ring 6X1mm EPDM PN 1-999-10976
R10L02,5019214,O-ring 4X1mm EPDM PN 1-999-08223
R10L02,5019215,"O-ring 24X1,5 mm PN 1-999-06359"
R10L02,5019216,"O-ring 14X1,5 mm PN 1-999-08222"
R09L05,5019228,PT100 T=100 PN 102922
R09L05,5019232,Heat Detector PT100 PN. 118361
R20L05,5019245,Element heater sealer PFS-DD200
R20L05,5019246,Element heater sealer PFS-300DD
R03L01,5019247,"Timing Belt T10 15x650, Optibelt"
R03L01,5019248,"Timing Belt T10 15x400, Optibelt"
R25L02,5019249,Fitting QS-1/2-16 PN. 153011
R25L02,5019250,Fitting NPQH-D-G12-Q14P10 578351
R06L05,5019253,PU Foam 750 ml
F0101,5019255,"Shaft 25h6x1155 CF5364HR, 366813"
L01L03,5019259,Breaker NV30-FA 2P 20A Mitsubish
L01L03,5019260,Breaker NV50-FA 3P 50A Mitsubish
R15L05,5019263,"Lakban kertas 1"""
R26L03,5019269,Hex Nylon Lock Nut M12 mm SS
R26L03,5019270,Hex Nylon Lock Nut M8 mm SS
L01L03,5019301,"Circuit prot. CP30-BA 1P 1M, 5A"
L01L03,5019302,"Circuit prot. CP30-BA 2P 1I, 7A"
L01L03,5019303,"Circuit prot. CP30-BA 2P 1I, 5A"
L01L03,5019304,"Circuit prot. CP30-BA 1P 2I, 15A"
L01L05,5019305,"Selector Switch ASW320, IDEC"
L01L05,5019306,"Switch ASLS22620DNW, IDEC"
L01L04,5019307,"Push Button AH164-LY11E3, FUJI"
L01L04,5019308,"Push Button AH164-LR11E3, FUJI"
L01L05,5019309,Push Button IDEC ALFW22211DG
L01L05,5019310,Push Button IDEC ALFW22211DY
L01L05,5019311,Push Button IDEC ALFW22211DR
L01L05,5019312,Push Button IDEC type ABW401Y
L01L05,5019313,Emergency stop AVW401R IDEC
L01L05,5019314,Push Button IDEC type ABW110R
L01L05,5019315,Push Button IDEC type ABW110G
L01L06,5019316,"Counter H7CX-A4SD 24VDC, OMRON"
L01L04,5019317,Heater troub detec FAL-10 FOREST
L01L02,5019321,"AC Power Reg. RPBE 2040-B, Fuji"
L01L04,5019323,Kontaktor SC-N1 200VAC FUJI
L01L04,5019324,Switc SJ-OWG/X 0.75KW 24VDC FUJI
L01L03,5019325,Breaker NF30-FA 2P 10A Mitsubish
L01L03,5019326,Breaker NF30-FA 2P 30A Mitsubish
L01L03,5019327,"Breaker MB30-CS3P 7,1A Mitsubish"
L01L03,5019328,Breaker MB30-CS 3P 4A Mitsubishi
L01L03,5019329,BREAKER NV63-CV 3P 50A
L01L06,5019331,Relay G2A-432A-N 24VDC OMRON
L01L06,5019332,Photo Sensor E3S-VS1E42 OMRON
L01L06,5019333,Photo Sensor E3Z-LS63 OMRON
L01L06,5019334,Proximity Sensor E2E-X5ME1OMRON
L01L06,5019335,Basic switch Z-15GW2255-B OMRON
L01L06,5019336,Rotary Encoder E6C3-AG5C 360 2M
L01L03,5019337,Noise filte ZCB2203-11S ORIENTAL
L01L04,5019338,Signal transmitter M5VS-44-R/K
L01L03,5019339,Speed control CAH90C SUMITOMO
L01L03,5019340,Speed control SS21M ORIENTAL
R02L04,5019343,Buzzer EB1114 Panasonic
L01L04,5019349,Kontaktor SJ-0G 1a 24VDC FUJI
L01L04,5019350,Kontaktor SJ-1SG 1a 24VDC FUJI
L01L03,5019351,"Circuit prot. CP30-BA 1P 1M, 3A"
L01L04,5019352,Spark Killer CR-30151 OKAYA
L01L06,5019353,Plug XM3A-0921/XM2S-0913 OMRON
L01L05,5019356,"Plug 10114-3000VE, SUMITOMO"
L01L04,5019360,Auto Switch D-H7NW SMC
L01L05,5019361,"PUSH BUTTON HA1L-M1C54R, IDEC"
L01L05,5019362,"PUSH BUTTON HA1L-M1C54Y, IDEC"
L01L04,5019364,Connector SCK-2003 P.A SANWA
L01L05,5019365,Connector SCK-2004 P.A SANWA
L01L05,5019366,Connector SCK-2506 P.A SANWA
L01L04,5019368,Rubber cap WF8420K PANASONIC
L02L07,5019375,Seal mekanik TC 25 - 48 - 8
R25L03,5019381,Fitting angin KQH 12-00 SMC
R26L04,5019390,"U-Bolt 1 1/2"""
R15L04,5019408,Dinabolt SS 16 x 100 mm
L02L07,5019414,Knocking Bar mat. Mc. Blue
R10L04,5019428,Battery Lithium CR2450 3V RENATA
R07L04,5019473,As Pump Spray Huttlin SS 304
R07L05,5019474,Head pump 033.3531.A00 Watson Ma
R09L01,5019476,Seal sensor hoper mat. silicone
R31L02,5019512,"Long Drat M10, mat. SUS @ 1mtr"
R26L05,5019516,"Klem slang SS 3/4"""
R16L03,5019527,Gear set GWS 900-100s BOSCH
R31L04,5019537,Klem terminal Accu N200 kuningan
R03L06,5019549,Bucket Sachet NAFM 3 SS304 kiri
R03L06,5019550,Bucket Sachet NAFM 3 SS304 kanan
R03L06,5019551,Bucket Sachet NAFM 2 SS304 kiri
R03L06,5019553,Bucket Sachet NAFM 1 SS304 Kiri
R03L06,5019554,Bucket Sachet NAFM 1 SS304 Kanan
F0201,5019564,Kawat Mesh 6 SUS tebal 1 mm
R26L02,5019565,"Baut+Mur+Ring M16 x 185mm, BS"
R10L04,5019566,Temp. product RTD PT100 3x159 mm
F0101,5019567,Belt Conv. coding 9200x500 mm
R31L03,5019568,"Seal Valve Alfa laval 2"" Foodgra"
R19L05,5019582,Silicone Roller For Reg Plossa
R13L03,5019587,"SERVICE KIT,RING,BACK PN 105527"
R13L03,5019588,"O RING,VITON,2391DX.070PN 940101"
R13L03,5019589,"KIT,FILTER,SATURN,MEL PN 1028305"
R13L03,5019590,"KIT SERVICE,PUMP P4 PN.1028304"
R11L05,5019614,"Power Supply S8VS-09024A, 24VDC Omron"
L02L01,5019615,Chute up/ down shaft boss RP0280-282
L01L07,5019616,"Lampu LED ST8V-0,6M 8,7W 865 Osram"
R09L02,5019622,As gear conveyor Tokiwa
R10L04,5019627,Resist Thermo PT100 150mm Endress Hauser
R03L05,5019633,"Fiber sensor FU-67TG, Keyence"
R02L04,5019651,"Circuit Protector NRF210-3A, IDEC"
R09L02,5019653,Seal mekanik TC 30-47-7 NOK
R31L04,5019657,"Klem terminal Accu N100 kuning,As Sample"
R03L04,5019658,Seal mekanik TC 40-55-8 NOK
R31L04,5019666,Seal Membran comp. DR-175 SWAN
R02L03,5019673,"Bearing RF-1980HH, NMB"
R03L05,5019674,Stepping Motor PK268-02A Oriental
R02L03,5019676,"Bearing 6006 ZZ, NTN"
R03L05,5019677,"Gear Head 4GN9K, Oriental"
R03L05,5019678,"Motor 4RK25GN-C, Oriental"
R02L03,5019679,"Bearing 606 ZZ, NTN"
R02L05,5019682,"Gear Head 3GN3K, Oriental"
R02L05,5019683,"Induction motor 3IK15GN-C, Oriental"
R02L05,5019684,"Air combination AC30D-02DG, SMC"
R02L03,5019685,"Blanking plate SX3000-75-1A, SMC"
R02L02,5019686,IG Bush XSM-1517-15
R02L04,5019694,"Photoelectrik switch HPA-G21, Azbil"
R02L01,5019695,SAN-ESU Helical sprng type HP125-047-1.6
L02L07,5019698,"Seal makanik TC 40-56-10 NBR, NOK"
R13L03,5019700,"INSULATOR,TANK TOP,P4,W/SEALS PN 1018691"
